# Supplementary data for Figure 1: Galactic Chemical Evolution model predictions
# Generated on: 2025-06-10 11:38:09
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains galactic chemical evolution (GCE) model predictions
# for carbon and oxygen isotope ratios as a function of metallicity.
# The models are from Romano et al. (2022) and represent different
# stellar initial mass function (IMF) assumptions.
#
# Model details:
# - GCE models from Romano et al. (2022), A&A, 660, A76
# - Two mass range scenarios for stellar nucleosynthesis:
#   * 1-8 M☉: Standard IMF truncated at 8 M☉
#   * 3-8 M☉: IMF truncated between 3-8 M☉
# - Models include contributions from AGB stars, supernovae, and novae
# - Metallicity range: -0.7 < [M/H] < +0.5 dex
#
# Physical interpretation:
# - Higher mass ranges lead to different isotope ratio evolution
# - Models predict the galactic enrichment history of isotopes
# - Useful for understanding stellar nucleosynthesis contributions
#
# Column descriptions:
# metallicity_mh: [M/H] metallicity grid for model calculations
# carbon_isotope_ratio_1-8_msun: ¹²C/¹³C for 1-8 M☉ IMF model
# oxygen_isotope_ratio_1-8_msun: ¹⁶O/¹⁸O for 1-8 M☉ IMF model
# carbon_oxygen_ratio_1-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 1-8 M☉ model
# carbon_isotope_ratio_3-8_msun: ¹²C/¹³C for 3-8 M☉ IMF model
# oxygen_isotope_ratio_3-8_msun: ¹⁶O/¹⁸O for 3-8 M☉ IMF model
# carbon_oxygen_ratio_3-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 3-8 M☉ model
#
# Units:
# - Metallicity: dex (solar-normalized logarithmic scale)
# - Isotope ratios: dimensionless
#
# References:
# - GCE models: Romano et al. (2022), A&A, 660, A76
# - Stellar nucleosynthesis: Karakas & Lugaro (2016), ApJ, 825, 26
# - Nova nucleosynthesis: José & Hernanz (1998), ApJ, 494, 680
# - Supernova yields: Kobayashi et al. (2006), ApJ, 653, 1145
#
# Notes:
# - Models assume closed-box galactic evolution
# - Each row represents a different metallicity point
# - Isotope ratios increase/decrease based on stellar mass contributions
# - Use for comparison with observational measurements
#
metallicity_mh,carbon_isotope_ratio_1-8_msun,oxygen_isotope_ratio_1-8_msun,carbon_oxygen_ratio_1-8_msun,carbon_isotope_ratio_3-8_msun,oxygen_isotope_ratio_3-8_msun,carbon_oxygen_ratio_3-8_msun
-0.05,158.83,768.90,0.21,91.71,768.29,0.12
-0.05,158.59,767.93,0.21,91.71,767.31,0.12
-0.05,158.35,766.93,0.21,91.70,766.33,0.12
-0.05,158.09,765.97,0.21,91.69,765.37,0.12
-0.05,157.85,764.99,0.21,91.69,764.38,0.12
-0.05,157.60,764.02,0.21,91.69,763.41,0.12
-0.05,157.36,763.05,0.21,91.68,762.45,0.12
-0.05,157.11,762.07,0.21,91.68,761.48,0.12
-0.05,156.87,761.11,0.21,91.67,760.51,0.12
-0.05,156.62,760.15,0.21,91.67,759.55,0.12
-0.05,156.38,759.20,0.21,91.67,758.59,0.12
-0.05,156.13,758.24,0.21,91.66,757.63,0.12
-0.05,155.89,757.27,0.21,91.65,756.68,0.12
-0.04,155.64,756.32,0.21,91.65,755.74,0.12
-0.04,155.40,755.37,0.21,91.65,754.78,0.12
-0.04,155.16,754.43,0.21,91.64,753.83,0.12
-0.04,154.91,753.48,0.21,91.64,752.88,0.12
-0.04,154.68,752.53,0.21,91.63,751.94,0.12
-0.04,154.43,751.59,0.21,91.62,751.00,0.12
-0.04,154.19,750.64,0.21,91.62,750.06,0.12
-0.04,153.94,749.70,0.21,91.62,749.12,0.12
-0.04,153.71,748.77,0.21,91.61,748.20,0.12
-0.04,153.46,747.83,0.21,91.60,747.25,0.12
-0.04,153.23,746.90,0.21,91.60,746.32,0.12
-0.04,152.98,745.97,0.21,91.59,745.38,0.12
-0.04,152.75,745.04,0.21,91.59,744.46,0.12
-0.03,152.51,744.11,0.20,91.58,743.54,0.12
-0.03,152.26,743.18,0.20,91.58,742.62,0.12
-0.03,152.02,742.26,0.20,91.57,741.70,0.12
-0.03,151.79,741.34,0.20,91.57,740.77,0.12
-0.03,151.54,740.42,0.20,91.56,739.85,0.12
-0.03,151.31,739.51,0.20,91.56,738.94,0.12
-0.03,151.07,738.60,0.20,91.55,738.03,0.12
-0.03,150.83,737.67,0.20,91.54,737.11,0.12
-0.03,150.59,736.77,0.20,91.54,736.20,0.12
-0.03,150.35,735.85,0.20,91.53,735.30,0.12
-0.03,150.12,734.95,0.20,91.53,734.39,0.12
-0.03,149.88,734.03,0.20,91.52,733.49,0.12
-0.03,149.63,733.14,0.20,91.52,732.58,0.12
-0.03,149.40,732.23,0.20,91.51,731.67,0.13
-0.02,149.17,731.33,0.20,91.51,730.79,0.13
-0.02,148.93,730.44,0.20,91.50,729.89,0.13
-0.02,148.70,729.54,0.20,91.49,728.99,0.13
-0.02,148.46,728.64,0.20,91.49,728.09,0.13
-0.02,148.22,727.75,0.20,91.49,727.20,0.13
-0.02,147.99,726.85,0.20,91.48,726.31,0.13
-0.02,147.76,725.96,0.20,91.47,725.42,0.13
-0.02,147.52,725.08,0.20,91.46,724.53,0.13
-0.02,147.29,724.19,0.20,91.46,723.65,0.13
-0.02,147.05,723.31,0.20,91.45,722.77,0.13
-0.02,146.82,722.42,0.20,91.45,721.88,0.13
-0.02,146.58,721.55,0.20,91.44,721.00,0.13
-0.02,146.35,720.67,0.20,91.43,720.13,0.13
-0.02,146.12,719.79,0.20,91.43,719.25,0.13
-0.02,145.89,718.91,0.20,91.42,718.38,0.13
-0.01,145.66,718.03,0.20,91.41,717.51,0.13
-0.01,145.42,717.17,0.20,91.41,716.64,0.13
-0.01,145.20,716.30,0.20,91.41,715.76,0.13
-0.01,144.97,715.42,0.20,91.40,714.90,0.13
-0.01,144.74,714.57,0.20,91.40,714.04,0.13
-0.01,144.51,713.69,0.20,91.39,713.17,0.13
-0.01,144.28,712.83,0.20,91.38,712.31,0.13
-0.01,144.04,711.97,0.20,91.38,711.45,0.13
-0.01,143.82,711.10,0.20,91.37,710.59,0.13
-0.01,143.59,710.25,0.20,91.37,709.73,0.13
-0.01,143.36,709.39,0.20,91.36,708.87,0.13
-0.01,143.13,708.53,0.20,91.35,708.02,0.13
-0.01,142.91,707.69,0.20,91.35,707.17,0.13
-0.01,142.68,706.83,0.20,91.34,706.33,0.13
-0.00,142.46,705.99,0.20,91.34,705.48,0.13
-0.00,142.23,705.13,0.20,91.33,704.63,0.13
-0.00,142.01,704.29,0.20,91.33,703.78,0.13
-0.00,141.78,703.45,0.20,91.32,702.94,0.13
-0.00,141.56,702.60,0.20,91.31,702.10,0.13
-0.00,141.35,701.76,0.20,91.31,701.26,0.13
-0.00,141.12,700.91,0.20,91.30,700.41,0.13
-0.00,140.90,700.09,0.20,91.30,699.59,0.13
0.00,140.68,699.25,0.20,91.30,698.75,0.13
0.00,140.46,698.41,0.20,91.29,697.91,0.13
0.00,140.24,697.58,0.20,91.29,697.09,0.13
0.00,140.02,696.75,0.20,91.27,696.25,0.13
0.00,139.81,695.91,0.20,91.27,695.43,0.13
0.00,139.59,695.08,0.20,91.27,694.60,0.13
0.00,139.39,694.25,0.20,91.26,693.77,0.13
0.00,139.17,693.44,0.20,91.26,692.95,0.13
0.01,138.95,692.61,0.20,91.25,692.12,0.13
0.01,138.74,691.79,0.20,91.25,691.31,0.13
0.01,138.53,690.98,0.20,91.24,690.50,0.13
0.01,138.31,690.16,0.20,91.23,689.68,0.13
0.01,138.10,689.35,0.20,91.23,688.87,0.13
0.01,137.90,688.52,0.20,91.23,688.05,0.13
0.01,137.68,687.71,0.20,91.22,687.24,0.13
0.01,137.47,686.91,0.20,91.21,686.43,0.13
0.01,137.26,686.09,0.20,91.20,685.63,0.13
0.01,137.06,685.29,0.20,91.20,684.82,0.13
0.01,136.85,684.49,0.20,91.19,684.03,0.13
0.01,136.64,683.68,0.20,91.19,683.22,0.13
0.01,136.43,682.89,0.20,91.18,682.42,0.13
0.01,136.22,682.08,0.20,91.18,681.62,0.13
0.01,136.02,681.28,0.20,91.17,680.82,0.13
0.01,135.82,680.50,0.20,91.17,680.03,0.13
0.02,135.61,679.70,0.20,91.16,679.24,0.13
0.02,135.41,678.91,0.20,91.16,678.45,0.13
0.02,135.21,678.11,0.20,91.16,677.66,0.13
0.02,135.01,677.32,0.20,91.15,676.88,0.13
0.02,134.80,676.56,0.20,91.14,676.10,0.13
0.02,134.60,675.77,0.20,91.14,675.31,0.13
0.02,134.40,674.98,0.20,91.14,674.54,0.14
0.02,134.20,674.20,0.20,91.13,673.76,0.14
0.02,134.00,673.42,0.20,91.12,672.99,0.14
0.02,133.79,672.64,0.20,91.12,672.21,0.14
0.02,133.60,671.87,0.20,91.12,671.43,0.14
0.02,133.40,671.10,0.20,91.11,670.66,0.14
0.02,133.21,670.34,0.20,91.11,669.89,0.14
0.02,133.01,669.56,0.20,91.10,669.13,0.14
0.02,132.81,668.80,0.20,91.10,668.36,0.14
0.02,132.62,668.04,0.20,91.09,667.60,0.14
0.03,132.42,667.27,0.20,91.08,666.85,0.14
0.03,132.22,666.51,0.20,91.08,666.08,0.14
0.03,132.03,665.75,0.20,91.08,665.33,0.14
0.03,131.83,665.00,0.20,91.07,664.57,0.14
0.03,131.64,664.24,0.20,91.07,663.83,0.14
0.03,131.45,663.50,0.20,91.06,663.07,0.14
0.03,131.26,662.75,0.20,91.06,662.32,0.14
0.03,131.06,661.99,0.20,91.05,661.58,0.14
0.03,130.88,661.26,0.20,91.05,660.83,0.14
0.03,130.68,660.51,0.20,91.05,660.08,0.14
0.03,130.49,659.77,0.20,91.04,659.34,0.14
0.03,130.30,659.03,0.20,91.03,658.61,0.14
0.03,130.11,658.28,0.20,91.03,657.87,0.14
0.03,129.92,657.54,0.20,91.03,657.14,0.14
0.03,129.73,656.81,0.20,91.02,656.40,0.14
0.03,129.55,656.08,0.20,91.02,655.68,0.14
0.03,129.36,655.35,0.20,91.01,654.94,0.14
0.04,129.16,654.62,0.20,91.01,654.22,0.14
0.04,128.98,653.90,0.20,91.00,653.50,0.14
0.04,128.80,653.17,0.20,91.00,652.76,0.14
0.04,128.61,652.45,0.20,90.99,652.04,0.14
0.04,128.42,651.73,0.20,90.99,651.32,0.14
0.04,128.24,651.01,0.20,90.99,650.61,0.14
0.04,128.05,650.29,0.20,90.98,649.90,0.14
0.04,127.87,649.58,0.20,90.98,649.18,0.14
0.04,127.68,648.86,0.20,90.97,648.47,0.14
0.04,127.50,648.15,0.20,90.97,647.75,0.14
0.04,127.31,647.43,0.20,90.96,647.05,0.14
0.04,127.13,646.73,0.20,90.96,646.34,0.14
0.04,126.95,646.02,0.20,90.95,645.63,0.14
0.04,126.77,645.32,0.20,90.95,644.92,0.14
0.04,126.58,644.61,0.20,90.95,644.23,0.14
0.04,126.40,643.92,0.20,90.94,643.52,0.14
0.04,126.22,643.21,0.20,90.93,642.83,0.14
0.04,126.04,642.51,0.20,90.93,642.13,0.14
0.05,125.86,641.83,0.20,90.93,641.43,0.14
0.05,125.68,641.13,0.20,90.92,640.74,0.14
0.05,125.50,640.44,0.20,90.92,640.06,0.14
0.05,125.33,639.74,0.20,90.91,639.37,0.14
0.05,125.15,639.05,0.20,90.91,638.68,0.14
0.05,124.97,638.36,0.20,90.91,637.99,0.14
0.05,124.79,637.68,0.20,90.90,637.30,0.14
0.05,124.61,636.99,0.20,90.90,636.62,0.14
0.05,124.43,636.31,0.20,90.89,635.94,0.14
0.05,124.26,635.63,0.20,90.89,635.26,0.14
0.05,124.09,634.95,0.20,90.89,634.59,0.14
0.05,123.91,634.28,0.20,90.88,633.91,0.14
0.05,123.74,633.60,0.20,90.88,633.24,0.14
0.05,123.56,632.93,0.20,90.87,632.57,0.14
0.05,123.38,632.26,0.20,90.87,631.90,0.14
0.05,123.21,631.60,0.20,90.87,631.22,0.14
0.05,123.04,630.92,0.20,90.86,630.56,0.14
0.05,122.86,630.26,0.19,90.86,629.90,0.14
0.06,122.69,629.59,0.19,90.85,629.24,0.14
0.06,122.52,628.93,0.19,90.85,628.57,0.14
0.06,122.35,628.27,0.19,90.85,627.91,0.14
0.06,122.17,627.60,0.19,90.84,627.26,0.14
0.06,122.00,626.95,0.19,90.84,626.59,0.14
0.06,121.83,626.28,0.19,90.84,625.95,0.15
0.06,121.66,625.64,0.19,90.83,625.29,0.15
0.06,121.49,624.98,0.19,90.83,624.64,0.15
0.06,121.32,624.33,0.19,90.82,623.98,0.15
0.06,121.15,623.68,0.19,90.82,623.33,0.15
0.06,120.98,623.04,0.19,90.82,622.69,0.15
0.06,120.81,622.39,0.19,90.82,622.04,0.15
0.06,120.64,621.74,0.19,90.81,621.41,0.15
0.06,120.47,621.10,0.19,90.81,620.76,0.15
0.06,120.31,620.46,0.19,90.80,620.12,0.15
0.06,120.14,619.82,0.19,90.80,619.48,0.15
0.06,119.97,619.18,0.19,90.80,618.85,0.15
0.06,119.80,618.54,0.19,90.80,618.21,0.15
0.06,119.64,617.90,0.19,90.79,617.58,0.15
0.07,119.47,617.27,0.19,90.79,616.94,0.15
0.07,119.31,616.65,0.19,90.79,616.31,0.15
0.07,119.14,616.01,0.19,90.78,615.68,0.15
0.07,118.98,615.38,0.19,90.78,615.05,0.15
0.07,118.81,614.76,0.19,90.78,614.42,0.15
0.07,118.65,614.13,0.19,90.78,613.80,0.15
0.07,118.49,613.51,0.19,90.77,613.17,0.15
0.07,118.32,612.87,0.19,90.77,612.56,0.15
0.07,118.16,612.25,0.19,90.76,611.94,0.15
0.07,118.00,611.64,0.19,90.76,611.32,0.15
0.07,117.83,611.02,0.19,90.76,610.71,0.15
0.07,117.67,610.40,0.19,90.76,610.10,0.15
0.07,117.51,609.79,0.19,90.76,609.47,0.15
0.07,117.35,609.17,0.19,90.75,608.86,0.15
0.07,117.19,608.56,0.19,90.75,608.25,0.15
0.07,117.03,607.95,0.19,90.75,607.65,0.15
0.07,116.87,607.34,0.19,90.75,607.03,0.15
0.07,116.71,606.73,0.19,90.75,606.43,0.15
0.07,116.55,606.13,0.19,90.74,605.82,0.15
0.07,116.38,605.52,0.19,90.74,605.22,0.15
0.08,116.23,604.92,0.19,90.74,604.62,0.15
0.08,116.07,604.32,0.19,90.73,604.02,0.15
0.08,115.91,603.72,0.19,90.73,603.42,0.15
0.08,115.75,603.12,0.19,90.73,602.83,0.15
0.08,115.59,602.50,0.19,90.73,602.24,0.15
0.08,115.43,601.90,0.19,90.72,601.66,0.15
0.08,115.27,601.32,0.19,90.72,601.06,0.15
0.08,115.12,600.72,0.19,90.72,600.47,0.15
0.08,114.96,600.14,0.19,90.72,599.88,0.15
0.08,114.80,599.55,0.19,90.72,599.29,0.15
0.08,114.65,598.96,0.19,90.71,598.71,0.15
0.08,114.49,598.38,0.19,90.71,598.12,0.15
0.08,114.34,597.79,0.19,90.71,597.54,0.15
0.08,114.19,597.21,0.19,90.70,596.96,0.15
0.08,114.03,596.63,0.19,90.70,596.38,0.15
0.08,113.87,596.05,0.19,90.70,595.79,0.15
0.08,113.72,595.47,0.19,90.70,595.22,0.15
0.08,113.57,594.88,0.19,90.70,594.64,0.15
0.08,113.41,594.32,0.19,90.70,594.06,0.15
0.08,113.26,593.74,0.19,90.69,593.48,0.15
0.09,113.10,593.16,0.19,90.69,592.92,0.15
0.09,112.95,592.59,0.19,90.69,592.34,0.15
0.09,112.80,592.07,0.19,90.69,591.77,0.15
0.09,112.65,591.50,0.19,90.68,591.20,0.15
0.09,112.49,590.92,0.19,90.69,590.62,0.15
0.09,112.34,590.36,0.19,90.68,590.06,0.15
0.09,112.19,589.80,0.19,90.68,589.49,0.15
0.09,112.03,589.23,0.19,90.68,588.92,0.15
0.09,111.89,588.66,0.19,90.67,588.41,0.15
0.09,111.74,588.09,0.19,90.67,587.85,0.15
0.09,111.59,587.52,0.19,90.67,587.28,0.15
0.09,111.43,586.96,0.19,90.67,586.72,0.15
0.09,111.29,586.40,0.19,90.66,586.16,0.15
0.09,111.14,585.84,0.19,90.66,585.60,0.15
0.09,110.99,585.28,0.19,90.66,585.04,0.15
0.09,110.84,584.78,0.19,90.66,584.48,0.16
0.09,110.69,584.22,0.19,90.66,583.93,0.16
0.09,110.54,583.66,0.19,90.66,583.37,0.16
0.09,110.39,583.10,0.19,90.66,582.87,0.16
0.09,110.25,582.55,0.19,90.65,582.31,0.16
0.09,110.09,582.00,0.19,90.65,581.76,0.16
0.09,109.95,581.44,0.19,90.65,581.21,0.16
0.10,109.80,580.89,0.19,90.65,580.66,0.16
0.10,109.66,580.40,0.19,90.65,580.11,0.16
0.10,109.50,579.84,0.19,90.65,579.56,0.16
0.10,109.36,579.30,0.19,90.64,579.06,0.16
0.10,109.21,578.74,0.19,90.64,578.52,0.16
0.10,109.07,578.20,0.19,90.64,577.97,0.16
0.10,108.92,577.65,0.19,90.64,577.43,0.16
0.10,108.78,577.11,0.19,90.64,576.89,0.16
0.10,108.63,576.56,0.19,90.63,576.34,0.16
0.10,108.48,576.08,0.19,90.63,575.85,0.16
0.10,108.34,575.53,0.19,90.63,575.31,0.16
0.10,108.20,575.00,0.19,90.63,574.76,0.16
0.10,108.06,574.45,0.19,90.63,574.23,0.16
0.10,107.91,573.92,0.19,90.63,573.69,0.16
0.10,107.76,573.38,0.19,90.62,573.16,0.16
0.10,107.62,572.89,0.19,90.62,572.67,0.16
0.10,107.48,572.36,0.19,90.63,572.13,0.16
0.10,107.34,571.82,0.19,90.62,571.60,0.16
0.10,107.19,571.29,0.19,90.62,571.06,0.16
0.10,107.05,570.75,0.19,90.62,570.53,0.16
0.10,106.91,570.22,0.19,90.62,570.00,0.16
0.11,106.77,569.75,0.19,90.61,569.52,0.16
0.11,106.63,569.21,0.19,90.62,568.99,0.16
0.11,106.49,568.68,0.19,90.61,568.46,0.16
0.11,106.35,568.15,0.19,90.61,567.93,0.16
0.11,106.21,567.62,0.19,90.61,567.40,0.16
0.11,106.06,567.15,0.19,90.61,566.94,0.16
0.11,105.92,566.62,0.19,90.61,566.41,0.16
0.11,105.79,566.09,0.19,90.61,565.89,0.16
0.11,105.64,565.57,0.19,90.60,565.36,0.16
0.11,105.51,565.05,0.19,90.60,564.84,0.16
0.11,105.36,564.53,0.19,90.60,564.37,0.16
0.11,105.23,564.06,0.19,90.60,563.85,0.16
0.11,105.09,563.54,0.19,90.60,563.33,0.16
0.11,104.95,563.02,0.19,90.60,562.81,0.16
0.11,104.81,562.50,0.19,90.60,562.29,0.16
0.11,104.67,561.98,0.19,90.60,561.83,0.16
0.11,104.54,561.52,0.19,90.59,561.30,0.16
0.11,104.40,561.00,0.19,90.59,560.79,0.16
0.11,104.26,560.48,0.19,90.59,560.28,0.16
0.11,104.13,559.97,0.19,90.59,559.76,0.16
0.11,103.99,559.46,0.19,90.59,559.30,0.16
0.11,103.86,558.99,0.19,90.59,558.78,0.16
0.11,103.72,558.48,0.19,90.59,558.28,0.16
0.12,103.58,557.97,0.19,90.58,557.77,0.16
0.12,103.45,557.46,0.19,90.59,557.26,0.16
0.12,103.31,556.95,0.19,90.58,556.80,0.16
0.12,103.17,556.45,0.19,90.58,556.29,0.16
0.12,103.04,555.98,0.19,90.58,555.79,0.16
0.12,102.91,555.48,0.19,90.58,555.28,0.16
0.12,102.77,554.97,0.19,90.58,554.78,0.16
0.12,102.64,554.47,0.19,90.58,554.32,0.16
0.12,102.50,553.96,0.19,90.58,553.82,0.16
0.12,102.37,553.51,0.18,90.57,553.31,0.16
0.12,102.23,553.01,0.18,90.58,552.81,0.16
0.12,102.10,552.51,0.18,90.57,552.31,0.16
0.12,101.97,552.01,0.18,90.57,551.86,0.16
0.12,101.84,551.51,0.18,90.57,551.36,0.16
0.12,101.70,551.06,0.18,90.57,550.87,0.16
0.12,101.58,550.56,0.18,90.57,550.37,0.16
0.12,101.45,550.07,0.18,90.57,549.87,0.16
0.12,101.31,549.57,0.18,90.57,549.43,0.16
0.12,101.19,549.07,0.18,90.57,548.93,0.16
0.12,101.06,548.62,0.18,90.57,548.43,0.17
0.12,100.93,548.13,0.18,90.57,547.94,0.17
0.12,100.80,547.64,0.18,90.57,547.50,0.17
0.12,100.67,547.14,0.18,90.56,547.00,0.17
0.12,100.54,546.65,0.18,90.56,546.51,0.17
0.13,100.42,546.22,0.18,90.56,546.03,0.17
0.13,100.29,545.73,0.18,90.56,545.54,0.17
0.13,100.16,545.24,0.18,90.56,545.09,0.17
0.13,100.04,544.75,0.18,90.56,544.61,0.17
0.13,99.91,544.26,0.18,90.56,544.12,0.17
0.13,99.79,543.82,0.18,90.56,543.63,0.17
0.13,99.67,543.33,0.18,90.56,543.15,0.17
0.13,99.54,542.85,0.18,90.56,542.72,0.17
0.13,99.41,542.36,0.18,90.56,542.23,0.17
0.13,99.29,541.93,0.18,90.56,541.75,0.17
0.13,99.17,541.45,0.18,90.56,541.27,0.17
0.13,99.05,540.97,0.18,90.55,540.84,0.17
0.13,98.93,540.49,0.18,90.55,540.35,0.17
0.13,98.81,540.01,0.18,90.55,539.88,0.17
0.13,98.68,539.57,0.18,90.55,539.39,0.17
0.13,98.56,539.09,0.18,90.55,538.96,0.17
0.13,98.44,538.61,0.18,90.55,538.48,0.17
0.13,98.32,538.14,0.18,90.55,538.01,0.17
0.13,98.20,537.66,0.18,90.55,537.53,0.17
0.13,98.08,537.24,0.18,90.55,537.06,0.17
0.13,97.96,536.75,0.18,90.55,536.63,0.17
0.13,97.84,536.28,0.18,90.54,536.15,0.17
0.13,97.72,535.81,0.18,90.54,535.68,0.17
0.13,97.61,535.39,0.18,90.54,535.21,0.17
0.14,97.48,534.91,0.18,90.54,534.79,0.17
0.14,97.37,534.44,0.18,90.54,534.31,0.17
0.14,97.25,533.98,0.18,90.54,533.85,0.17
0.14,97.13,533.55,0.18,90.54,533.43,0.17
0.14,97.02,533.08,0.18,90.54,532.95,0.17
0.14,96.90,532.61,0.18,90.54,532.49,0.17
0.14,96.78,532.15,0.18,90.54,532.03,0.17
0.14,96.67,531.73,0.18,90.54,531.60,0.17
0.14,96.55,531.26,0.18,90.54,531.14,0.17
0.14,96.44,530.80,0.18,90.54,530.67,0.17
0.14,96.33,530.38,0.18,90.54,530.26,0.17
0.14,96.21,529.92,0.18,90.54,529.79,0.17
0.14,96.09,529.45,0.18,90.54,529.33,0.17
0.14,95.98,528.99,0.18,90.53,528.87,0.17
0.14,95.87,528.58,0.18,90.53,528.46,0.17
0.14,95.75,528.11,0.18,90.53,527.99,0.17
0.14,95.64,527.66,0.18,90.53,527.54,0.17
0.14,95.53,527.24,0.18,90.53,527.12,0.17
0.14,95.42,526.78,0.18,90.53,526.67,0.17
0.14,95.30,526.33,0.18,90.53,526.21,0.17
0.14,95.19,525.91,0.18,90.53,525.80,0.17
0.14,95.07,525.45,0.18,90.53,525.35,0.17
0.14,94.97,525.01,0.18,90.53,524.89,0.17
0.14,94.85,524.59,0.18,90.53,524.48,0.17
0.14,94.74,524.14,0.18,90.53,524.03,0.17
0.14,94.64,523.68,0.18,90.53,523.62,0.17
0.15,94.52,523.28,0.18,90.53,523.17,0.17
0.15,94.41,522.83,0.18,90.53,522.72,0.17
0.15,94.30,522.42,0.18,90.53,522.31,0.17
0.15,94.19,521.97,0.18,90.53,521.86,0.17
0.15,94.08,521.52,0.18,90.53,521.46,0.17
0.15,93.98,521.11,0.18,90.53,521.01,0.17
0.15,93.87,520.66,0.18,90.53,520.56,0.17
0.15,93.76,520.22,0.18,90.53,520.16,0.17
0.15,93.65,519.82,0.18,90.53,519.71,0.17
0.15,93.54,519.38,0.18,90.53,519.31,0.17
0.15,93.44,518.97,0.18,90.53,518.87,0.17
0.15,93.33,518.53,0.18,90.53,518.42,0.17
0.15,93.22,518.13,0.18,90.53,518.02,0.17
0.15,93.11,517.69,0.18,90.53,517.58,0.17
0.15,93.01,517.24,0.18,90.53,517.18,0.18
0.15,92.90,516.85,0.18,90.53,516.74,0.18
0.15,92.80,516.41,0.18,90.53,516.34,0.18
0.15,92.69,516.00,0.18,90.53,515.90,0.18
0.15,92.58,515.56,0.18,90.53,515.51,0.18
0.15,92.48,515.17,0.18,90.53,515.07,0.18
0.15,92.37,514.73,0.18,90.53,514.63,0.18
0.15,92.27,514.33,0.18,90.53,514.24,0.18
0.15,92.16,513.90,0.18,90.53,513.80,0.18
0.15,92.06,513.47,0.18,90.53,513.41,0.18
0.15,91.96,513.06,0.18,90.53,512.98,0.18
0.15,91.85,512.63,0.18,90.53,512.58,0.18
0.16,91.74,512.24,0.18,90.53,512.15,0.18
0.16,91.64,511.81,0.18,90.53,511.76,0.18
0.16,91.54,511.42,0.18,90.53,511.33,0.18
0.16,91.43,510.98,0.18,90.53,510.94,0.18
0.16,91.33,510.60,0.18,90.53,510.50,0.18
0.16,91.23,510.17,0.18,90.54,510.11,0.18
0.16,91.13,509.77,0.18,90.54,509.69,0.18
0.16,91.03,509.35,0.18,90.53,509.30,0.18
0.16,90.92,508.96,0.18,90.53,508.87,0.18
0.16,90.82,508.53,0.18,90.54,508.48,0.18
0.16,90.72,508.15,0.18,90.54,508.10,0.18
0.16,90.62,507.77,0.18,90.54,507.68,0.18
0.16,90.52,507.33,0.18,90.54,507.29,0.18
0.16,90.42,506.95,0.18,90.54,506.87,0.18
0.16,90.31,506.53,0.18,90.54,506.49,0.18
0.16,90.21,506.15,0.18,90.54,506.06,0.18
0.16,90.11,505.73,0.18,90.54,505.68,0.18
0.16,90.01,505.34,0.18,90.54,505.29,0.18
0.16,89.91,504.92,0.18,90.54,504.88,0.18
0.16,89.81,504.54,0.18,90.54,504.50,0.18
0.16,89.71,504.16,0.18,90.54,504.07,0.18
0.16,89.61,503.74,0.18,90.55,503.70,0.18
0.16,89.51,503.36,0.18,90.55,503.28,0.18
0.16,89.41,502.94,0.18,90.55,502.90,0.18
0.16,89.31,502.57,0.18,90.55,502.52,0.18
0.16,89.21,502.19,0.18,90.55,502.11,0.18
0.16,89.12,501.77,0.18,90.55,501.73,0.18
0.16,89.02,501.39,0.18,90.55,501.36,0.18
0.17,88.92,500.98,0.18,90.55,500.94,0.18
0.17,88.82,500.61,0.18,90.55,500.57,0.18
0.17,88.73,500.23,0.18,90.55,500.15,0.18
0.17,88.63,499.81,0.18,90.55,499.78,0.18
0.17,88.53,499.45,0.18,90.55,499.41,0.18
0.17,88.43,499.03,0.18,90.55,498.99,0.18
0.17,88.34,498.65,0.18,90.55,498.63,0.18
0.17,88.24,498.29,0.18,90.56,498.25,0.18
0.17,88.14,497.88,0.18,90.56,497.84,0.18
0.17,88.04,497.50,0.18,90.56,497.48,0.18
0.17,87.95,497.13,0.18,90.56,497.10,0.18
0.17,87.86,496.73,0.18,90.56,496.69,0.18
0.17,87.76,496.36,0.18,90.56,496.33,0.18
0.17,87.66,495.99,0.18,90.56,495.96,0.18
0.17,87.57,495.58,0.18,90.56,495.55,0.18
0.17,87.47,495.22,0.18,90.57,495.18,0.18
0.17,87.37,494.85,0.18,90.57,494.82,0.18
0.17,87.28,494.45,0.18,90.57,494.42,0.18
0.17,87.18,494.08,0.18,90.57,494.05,0.18
0.17,87.09,493.71,0.18,90.57,493.68,0.18
0.17,86.99,493.35,0.18,90.57,493.33,0.18
0.17,86.90,492.95,0.18,90.57,492.92,0.18
0.17,86.80,492.59,0.18,90.57,492.56,0.18
0.17,86.71,492.23,0.18,90.58,492.20,0.18
0.17,86.61,491.82,0.18,90.58,491.83,0.18
0.17,86.52,491.46,0.18,90.58,491.43,0.18
0.17,86.43,491.10,0.18,90.58,491.08,0.18
0.17,86.34,490.74,0.18,90.58,490.72,0.18
0.17,86.24,490.34,0.18,90.58,490.32,0.18
0.18,86.15,489.98,0.18,90.58,489.96,0.18
0.18,86.05,489.62,0.18,90.58,489.60,0.19
